PROVNUM,STATE,RESTOT,BEDCERT,OVERALL_RATING,TOTHRD,PTHRD,WEIGHTED_ALL_CYCLES_SCORE
15199,AL,146.9,180,5,4.67411,0.02456,26.4
15200,AL,170.7,185,4,4.93109,0.02824,42.4
15201,AL,75.7,90,2,3.26346,0.01624,54.4
15202,AL,158.9,209,5,4.29836,0.07324,22.4
15203,AL,137.3,182,2,3.77976,0.01449,115.6
15204,AL,60.9,72,5,4.2392,0.03073,22.4
15206,AL,111.7,119,3,3.84357,0.02844,47.2
15207,AL,177.5,200,3,5.05712,0.0398,37.6
15208,AL,140.9,149,5,3.99197,0.01969,17.6
15209,AL,149.7,180,4,3.4937,0.08275,44
15210,AL,161.4,197,3,3.77469,0.02526,36
15211,AL,117.8,131,3,,,33.6
15212,AL,89.8,131,4,4.90091,0.03032,10.4
15213,AL,143.4,234,4,4.76113,0.03267,39.2
15214,AL,69.8,80,5,4.27065,0.03337,24.8
15215,AL,111.2,131,3,3.81076,0.03081,38.4
15216,AL,130.9,138,4,4.08047,0.01637,33.6
15217,AL,126.5,132,2,2.91264,0.07135,70.4
15220,AL,76.3,80,5,4.38183,0.01357,4.8
15221,AL,140.8,188,4,4.78592,0.06511,25.6
15222,AL,63,131,2,3.81815,0.05219,56.8
15223,AL,88.2,115,4,3.37318,0.0759,28
15225,AL,107.9,113,4,4.89489,0.01428,25.6
15227,AL,117.8,158,4,4.30463,0.01669,28
15228,AL,91.9,121,2,3.7086,0.08121,67.2
15303,AL,126.8,163,3,3.16102,0.0691,25.6
15315,AL,66.9,98,5,4.1815,0.02117,9.6
15320,AL,205.7,257,1,2.78381,0.05079,43.2
15321,AL,94,101,3,4.00441,0,28.8
15322,AL,80.9,87,5,5.11565,0.03381,7.2
15326,AL,139,152,3,4.06121,0.03627,29.6
15330,AL,70.1,78,2,,,73.2
15331,AL,77.9,86,4,4.29014,0.01651,4.8
15336,AL,137.6,151,5,3.58426,0.05058,20
15361,AL,56.8,58,5,4.07765,0.00702,12.8
15369,AL,122,130,2,4.37951,0.01822,53.6
15371,AL,,216,2,,,28
15372,AL,79.5,90,5,5.02645,0.08763,15.2
15373,AL,101.1,142,4,5.42566,0.03064,19.2
15374,AL,,95,2,,,166.2
15375,AL,41.9,85,2,3.53143,0.0374,144.8
15376,AL,115.9,123,3,2.82666,0.06379,31.2
15378,AL,81.2,91,4,4.86546,0.02868,14.4
15379,AL,106.3,120,3,3.5172,0.11543,25.6
15381,AL,39.5,60,5,4.29185,0.08726,4.8
15382,AL,140.3,137,1,3.23031,0.07472,347.8
15383,AL,135.8,149,5,3.83852,0.03295,6.4
15386,AL,62.8,88,4,3.1,0.03971,11.2
15388,AL,104.2,108,3,3.68168,0.03379,29.6
15390,AL,246.4,284,5,4.50453,0.04415,9.6
15391,AL,149.7,167,2,4.20804,0,62.4
15392,AL,76.8,90,4,3.06718,0.04995,14.4
15393,AL,161.8,185,3,4.33026,0.03577,29.6
15396,AL,81.7,97,5,3.23536,0.01807,8
15397,AL,100,117,4,2.96806,0.07176,23.2
15398,AL,76.7,84,4,4.33559,0.02151,15.2
15400,AL,49.1,59,4,4.24958,0.03271,28.8
15402,AL,59.2,60,5,4.04156,0,12
15403,AL,90.3,100,5,4.02876,0.06623,11.2
15404,AL,33,50,2,3.50794,0.09934,70.4
15406,AL,77.7,92,1,4.26466,0.05134,49.6
15407,AL,50.8,53,5,3.20988,0,17.6
15408,AL,46.1,59,2,,,46
15410,AL,18.4,26,5,9.07593,0.28273,0
15411,AL,126.1,131,5,4.93106,0.07588,12
15413,AL,60,68,4,2.57572,0.04042,11.2
15414,AL,56.8,63,4,2.99068,0,23.2
15415,AL,30.3,34,3,,,16
15416,AL,,154,4,,,15.2
15417,AL,65.8,75,4,4.19423,0.07222,10.4
15419,AL,87.1,86,5,3.0336,0.0594,17.6
15420,AL,75.2,100,3,3.90243,0,45.6
15422,AL,97.7,103,2,3.24292,0.05271,118.2
15423,AL,52.2,66,2,4.55137,0.25555,48.8
15424,AL,58.2,65,4,4.41033,0.04029,21.6
15425,AL,158.4,165,5,4.69481,0.11426,15.2
15426,AL,18.9,20,5,6.20376,0.23411,11.2
15429,AL,95.8,120,2,3.46579,0,43.2
15431,AL,132,155,5,4.54472,0.05353,22.4
15433,AL,127.3,128,4,4.91896,0.05074,44
15434,AL,109.4,127,5,3.31465,0.06363,11.2
15435,AL,87.8,151,5,4.84152,0.08408,13.6
15436,AL,125.7,143,4,5.08779,0.08153,44.8
15437,AL,93.5,102,3,5.03586,0.04731,29.6
15440,AL,86.5,105,2,4.02212,0.04224,41.6
15442,AL,66.7,72,3,,,38.4
15443,AL,125.8,152,2,4.15503,0.08422,34.4
15445,AL,111.7,115,3,3.79935,0.03154,27.2
15446,AL,88.1,95,4,4.24269,0.03162,21.6
15447,AL,60.8,83,5,3.65042,0.13612,16
15448,AL,69.7,81,3,3.93975,0.02458,18.4
15450,AL,52,59,5,4.09697,0.21537,12
15451,AL,75.2,85,5,3.94612,0,0
15452,AL,81.3,87,3,,,42.4
15453,AL,62,63,5,3.78455,0,12.8
15454,AL,50.1,56,5,4.91682,0.08736,20.8
15455,AL,133.2,143,3,3.20652,0,40
15456,AL,92.6,100,4,4.18647,0.07572,35.2
15457,AL,55.6,61,4,6.92199,0.12417,28
15458,AL,75.7,91,2,3.97492,0.08507,58.4
15459,AL,29,30,5,4.29759,0.07035,16
15460,AL,55.7,65,5,3.77813,0.1311,12.8
15461,AL,128.8,198,5,3.85067,0,19.2
15463,AL,66.8,71,1,4.73552,0.16215,83.6
15464,AL,85.1,118,3,6.15165,0.15088,37.6
15465,AL,52.3,75,5,6.443,0.22398,0
15467,AL,93.7,125,1,4.48821,0.03519,278.4
15468,AL,90,120,4,6.10574,0,21.6
15642,AL,,32,3,,,17.6
01A193,AL,,58,5,,,0
01A208,AL,47.1,54,5,3.79462,0,9.6
25010,AK,22.4,29,5,7.84815,0.0701,34.4
25015,AK,11.3,15,5,7.50148,0.03818,63.2
25018,AK,46.1,50,4,8.1792,0.50507,79.2
25019,AK,12.4,15,5,8.44424,0.0902,38.4
25020,AK,75.9,90,5,6.87553,0.12078,38.4
25021,AK,53.9,60,5,5.68716,0.06702,18.4
25024,AK,32.9,40,3,,,43.2
25025,AK,88.7,102,3,5.89206,0.08522,142.4
25026,AK,16.3,18,4,,,82.4
25027,AK,54.4,57,4,5.52787,0.16094,49.6
25028,AK,10,10,4,7.99022,0.08529,129.6
25030,AK,21.7,22,2,,,231.8
25031,AK,27.3,28,5,7.45888,0.14822,68.8
25032,AK,14.5,15,3,6.48339,0.07143,128.8
25034,AK,6.7,10,5,,,33.6
25035,AK,,18,1,,,84.8
25036,AK,94.9,96,2,6.32022,0.09319,193.4
25037,AK,17.5,18,2,8.41449,0,185
35003,AZ,44.8,64,5,4.84799,0.11462,9.6
35004,AZ,129.8,144,3,3.55843,0.00769,27.2
35014,AZ,85.4,108,4,3.21863,0.08712,21.6
35016,AZ,71.1,94,3,4.25138,0,32.8
