PROVNUM,STATE,RESTOT,BEDCERT,OVERALL_RATING,TOTHRD,PTHRD,WEIGHTED_ALL_CYCLES_SCORE
105356,FL,261.1,269,2,3.93185,0.05438,35.2
105358,FL,189.9,240,2,4.38555,0,215.2
105360,FL,95.8,120,4,4.23139,0.08398,33.6
105362,FL,66.3,79,3,3.784,0.12237,35.2
105363,FL,134.7,164,5,3.89383,0.12753,24
105364,FL,155,156,4,4.16351,0.13004,11.2
105365,FL,212,240,4,4.22376,0.09957,28.8
105366,FL,102.4,117,5,4.20469,0.21758,28
105371,FL,175.4,181,4,4.23128,0.09657,52.8
105372,FL,98.6,138,4,4.17639,0.15368,55.2
105373,FL,109.9,120,3,3.87157,0.06005,35.2
105374,FL,134.3,150,4,4.80183,0.07743,29.6
105375,FL,106.1,120,3,4.02475,0.08044,42.4
105376,FL,155.2,180,3,3.92221,0,26.4
105377,FL,113.4,120,5,4.15931,0.09082,26.4
105378,FL,63.6,80,5,,,20
105379,FL,55.4,59,5,4.09318,0.10086,12
105381,FL,96.9,105,2,3.86459,0.20562,39.2
105382,FL,100.9,107,2,4.21743,0.06915,67.2
105384,FL,52.5,60,5,4.74981,0.22718,8.8
105385,FL,104.9,120,5,4.15399,0.08121,16
105387,FL,131.9,107,2,2.72327,0.06026,88
105389,FL,68.1,87,4,4.0805,0.14525,40
105390,FL,271.6,299,3,3.94034,0.07735,40.8
105391,FL,108.8,120,2,3.83645,0.06906,84.8
105392,FL,173.7,180,2,4.53761,0.05066,62.4
105393,FL,105.8,120,5,4.10334,0.1108,21.6
105394,FL,106.2,120,2,4.0514,0.04312,72
105395,FL,47.4,60,5,4.47085,0.17801,15.2
105396,FL,100,106,5,4.91335,0.2417,4.8
105397,FL,113.9,116,5,4.23639,0.15571,26.4
105398,FL,116.9,120,5,3.84006,0.06311,29.6
105399,FL,97.9,110,2,4.57195,0.11005,73.6
105401,FL,113.1,120,5,4.02198,0.05227,16.8
105402,FL,114,139,3,3.85811,0.0696,45.6
105404,FL,57.1,60,4,4.48308,0.12902,51.2
105407,FL,104.6,120,2,3.89081,0.0549,98.4
105408,FL,164,176,4,3.89391,0.07282,41.6
105409,FL,47.9,56,5,3.65579,0.16368,13.6
105410,FL,109.7,180,5,4.34267,0,24
105411,FL,79.7,90,2,4.24823,0.16084,60.8
105412,FL,103.8,120,4,4.48754,0.24881,42.4
105413,FL,115.4,120,4,3.8802,0.04295,39.2
105416,FL,113.9,120,2,3.64907,0.08948,376.6
105417,FL,146.8,150,2,3.93342,0.04853,150
105419,FL,106,120,2,3.77086,0.06318,39.2
105420,FL,126.6,132,5,4.51446,0.08119,30.4
105421,FL,107.1,120,2,4.17209,0.13168,57.6
105422,FL,77.2,120,2,4.13618,0.0857,60
105423,FL,173.4,180,3,3.94945,0.14387,32.8
105426,FL,111.8,120,3,4.24029,0.18521,24
105427,FL,118.3,120,4,4.64538,0,16
105428,FL,100.2,120,4,3.90532,0.07413,42.4
105429,FL,97.5,100,3,3.56685,0.13589,44.8
105430,FL,146.1,180,4,4.20847,0.07897,47.2
105431,FL,99.9,120,5,5.99421,0.14033,4.8
105432,FL,114.5,120,4,4.9779,0.11513,36
105433,FL,165.3,180,2,3.99401,0.09929,124.8
105434,FL,153.2,180,2,4.21463,0.08574,129.6
105435,FL,94.7,120,5,3.84525,0,0
105436,FL,102.1,120,5,4.0046,0.16226,12.8
105437,FL,110,120,3,3.82879,0.10603,40
105438,FL,112.6,120,2,3.90246,0.0949,68
105439,FL,105.5,120,5,3.90508,0.06391,24
105440,FL,169,180,2,3.9793,0.07167,124.8
105441,FL,189.6,283,3,3.63283,0.06592,29.6
105442,FL,102.1,120,2,4.07334,0.08197,58.4
105443,FL,109.9,120,2,3.89801,0.06713,38.8
105444,FL,71.3,82,5,4.39293,0.11427,7.2
105445,FL,108,120,2,4.15894,0.06229,95.2
105447,FL,116,120,2,3.95213,0.05926,68.8
105448,FL,107.5,157,5,3.727,0.06438,26.4
105449,FL,93.5,99,5,4.69176,0.04515,24.8
105451,FL,112.6,120,4,3.83249,0.11019,24
105452,FL,113.6,120,1,3.93488,0.06694,94.4
105453,FL,121.8,150,3,4.68937,0.08888,44
105454,FL,144.1,178,4,3.95229,0.12341,44
105455,FL,163.2,180,5,4.30384,0.13306,12
105458,FL,52,60,4,4.11307,0.30775,28
105459,FL,116.6,120,4,4.04428,0.05715,21.6
105460,FL,110.1,120,2,4.05634,0.11166,82.4
105461,FL,114.5,120,2,3.74604,0.08146,68
105462,FL,128.2,155,4,3.87635,0.13895,22.4
105463,FL,71.2,80,5,4.32822,0.18304,19.2
105464,FL,100.2,120,1,3.89041,0.09697,60.8
105465,FL,168.6,159,1,3.92984,0.04966,47.2
105466,FL,102,120,5,4.01961,0.11074,12
105467,FL,112.5,120,1,3.97688,0.12709,58.4
105468,FL,54.5,120,4,4.39916,0.26622,25.6
105469,FL,180.5,180,2,2.30361,0,132
105470,FL,108.6,120,4,3.9394,0.07761,17.6
105471,FL,114.5,120,5,3.87981,0.05902,16.8
105472,FL,55.5,58,4,4.52915,0.13549,36.8
105473,FL,109.2,150,4,4.4153,0.11376,15.2
105474,FL,150.2,159,1,3.72392,0.04428,70.4
105475,FL,107.8,120,4,4.67717,0.17597,34.4
105476,FL,160.3,180,5,4.52461,0.14661,20.8
105477,FL,113,120,1,3.94869,0.12627,87.2
105478,FL,114.4,120,3,4.135,0.11988,24
105479,FL,216.7,228,5,4.15443,0.08434,26.4
105480,FL,108.3,120,1,3.99109,0.07356,128
105481,FL,163.3,180,4,4.03857,0.07063,35.2
105482,FL,110.8,120,2,3.48988,0.06288,67.2
105484,FL,,180,5,,,7.2
105485,FL,107,120,3,2.89505,0.12898,12.8
105486,FL,105.4,120,2,4.06445,0.03958,202.4
105487,FL,105.5,120,4,4.39638,0.06346,29.6
105488,FL,113.7,120,4,,,32
105489,FL,59.8,101,3,4.51264,0.18842,36.8
105491,FL,143.9,160,2,4.11268,0.09883,63.2
105492,FL,109.5,120,2,3.97569,0.12981,60
105494,FL,111.2,120,5,4.1718,0.04299,25.6
105495,FL,230,240,3,3.89584,0.07679,47.2
105496,FL,158.1,180,5,4.03709,0.13817,16.8
105497,FL,111.5,120,2,3.84092,0.05404,34.4
105498,FL,100.9,120,5,4.98361,0.03411,15.2
105499,FL,110,117,5,3.99456,0.20411,12.8
105500,FL,175.2,180,4,3.56426,0.06774,13.6
105502,FL,222.6,245,5,3.87718,0.0331,32.8
105503,FL,29.5,35,3,4.50663,0.26386,36
105504,FL,149.1,180,4,4.94212,0.05467,14.4
105505,FL,160.9,170,5,4.25068,0.1071,15.2
105506,FL,125.3,154,2,4.67465,0.09694,90.4
105507,FL,99.8,120,2,3.89459,0.07707,189.6
105508,FL,62.5,74,4,4.80939,0.15468,42.4
105509,FL,114.7,120,5,4.09054,0.06413,24.8
105510,FL,262.2,294,2,3.63215,0.03762,71.2
105511,FL,98.8,106,5,4.57135,0.04646,14.4
105512,FL,177.2,174,3,4.04,0,54.4
105513,FL,221.6,240,4,4.43078,0.06217,54.4
105514,FL,109.8,114,5,4.2903,0.11204,21.6
105515,FL,173.7,180,5,4.42523,0.14755,22.4
105516,FL,152,220,5,4.45807,0.15957,29.6
105518,FL,86.6,100,5,4.47421,0.09613,1.6
105519,FL,109.1,120,2,4.3955,0.18654,56.8
105520,FL,111,120,2,4.27629,0.10377,143
105521,FL,95.1,144,2,5.01017,0.0607,57.6
105522,FL,100.4,128,5,4.28211,0.0694,13.6
105523,FL,96,120,5,3.84708,0.07642,21.6
105524,FL,122.2,120,5,4.14181,0.27814,12.8
105525,FL,,120,2,,,312.8
105526,FL,51,60,4,4.60032,0,24
105528,FL,117,120,3,3.88812,0.03957,40.8
105529,FL,92.3,120,5,4.14504,0.13745,19.2
105530,FL,109.7,120,4,3.85771,0.06189,30.4
105531,FL,102.3,120,2,3.88284,0,92
105532,FL,143.9,170,5,4.3227,0.08064,17.6
105533,FL,110.8,120,3,3.8886,0.14367,39.2
105537,FL,103.9,109,4,4.32046,0.13879,13.6
105538,FL,108,120,4,4.68908,0.20067,37.6
105539,FL,97.9,114,4,3.80077,0.11542,23.2
105541,FL,85.8,88,4,4.06076,0.09793,43.2
105543,FL,115.8,120,1,4.01241,0.0929,65.2
105544,FL,168.4,180,5,4.09189,0.11391,5.6
105546,FL,100.9,115,5,3.96643,0.07425,26.4
105547,FL,107.3,120,4,4.32063,0.08234,23.2
105548,FL,108.5,120,5,4.39745,0.21735,31.2
105549,FL,114.4,120,2,3.86481,0.10738,52.8
105550,FL,91.5,180,2,3.84857,0.17986,96.8
105551,FL,97.1,110,3,3.76035,0,28
105552,FL,54.8,60,5,4.19169,0.07771,4.8
105553,FL,115.3,120,4,3.99003,0.14522,34.4
105554,FL,195.3,214,3,3.89152,0.14528,43.2
105555,FL,108.2,120,4,4.00003,0.09856,52
105556,FL,21.9,30,5,7.98709,0.37914,13.6
105558,FL,109.9,120,2,3.98307,0.06284,70.4
105559,FL,158,161,4,4.47379,0.05174,36
105560,FL,185.8,213,3,4.38291,0.1042,46.4
105561,FL,173.2,180,4,4.18383,0.06521,1.6
105562,FL,171.7,180,3,3.88804,0.14269,47.2
105563,FL,111.1,120,5,4.11239,0.24522,6.4
105564,FL,174.2,180,2,3.9225,0.05396,230.2
105565,FL,112.4,120,4,3.97496,0.07083,13.6
105566,FL,114,120,2,3.97548,0.10876,40
105567,FL,107.6,119,5,4.22651,0.07153,32
105568,FL,95.1,103,1,3.69024,0.08125,60.8
105570,FL,128.7,173,4,5.04823,0,12
105571,FL,112.4,150,3,4.1463,0.12296,46.4
105572,FL,118.6,127,2,3.80921,0.11238,66.4
105574,FL,132.3,140,5,4.10534,0.1224,31.2
105575,FL,124.2,90,1,3.1541,0.10699,72.8
105577,FL,107.2,120,5,4.06311,0.12814,12
105578,FL,56.1,59,5,3.91291,0.10991,24
105579,FL,115.1,120,4,4.34383,0.14084,38.4
105580,FL,95.2,118,4,4.47869,0.10334,54.4
105581,FL,107.7,120,2,4.03128,0.1333,122.4
105584,FL,102.3,120,5,4.84134,0.17984,1.6
105586,FL,103.3,120,5,4.22887,0.07167,8
105587,FL,113.3,120,2,3.90832,0.106,48
105588,FL,107.4,120,2,4.19555,0.09365,120
105589,FL,106.9,120,4,4.02324,0.10632,28.8
105591,FL,111.7,120,5,4.2106,0.13076,14.4
105592,FL,161.3,180,1,3.81083,0.09915,117.6
105593,FL,112.4,120,5,4.21012,0.05384,25.6
105596,FL,170.4,180,1,4.13239,0.09859,60
105597,FL,50.7,60,5,4.25364,0.1445,13.6
105598,FL,49.3,54,4,5.49123,0.33337,40
105599,FL,101.4,120,5,3.94097,0.12212,27.2
105600,FL,112.6,120,5,4.23299,0.09156,30.4
105601,FL,68.3,97,5,4.25617,0.1595,9.6
105602,FL,102.3,120,5,5.02242,0.10908,25.6
105603,FL,100.4,120,4,4.32914,0.16374,36
105604,FL,61.7,60,3,3.52815,0.10088,27.2
105606,FL,101.4,120,2,4.02101,0.0714,66.4
105607,FL,144.5,176,3,4.16833,0.08011,40
105609,FL,125.3,151,5,4.34049,0.14128,26.4
105610,FL,108.3,120,2,4.19213,0.10794,222
105611,FL,113.5,120,2,3.81616,0.05631,99.2
105612,FL,48.7,60,5,4.42711,0.03783,9.6
105613,FL,160.5,180,4,4.21528,0.07496,47.2
105616,FL,116.4,120,3,3.64314,0.0812,41.6
105617,FL,120.3,165,2,4.32989,0.09971,67.2
105618,FL,114,120,4,4.93142,0.18868,12
105620,FL,175,179,4,3.82679,0.08705,24.8
105621,FL,81.2,90,5,4.56662,0.26251,20.8
105622,FL,180,194,4,3.90429,0.14804,54.4
105623,FL,114,120,3,4.97471,0.3478,52
105624,FL,137.7,180,3,4.4239,0.09548,54.4
105626,FL,125.1,180,5,3.88169,0.10368,9.6
105627,FL,50.8,60,4,4.26652,0.18782,18.4
105628,FL,107.8,118,4,3.60881,0,31.2
105629,FL,62.1,74,5,4.91744,0.18728,26.4
105630,FL,,30,3,,,12
105631,FL,104.4,120,1,3.96608,0.07911,71.2
105632,FL,174.7,180,2,3.89498,0.04329,66.4
105634,FL,71.3,76,4,4.18996,0.06436,32.8
105635,FL,120.1,129,2,4.26449,0.32862,418
105636,FL,110.5,120,5,4.03994,0.17888,12.8
105637,FL,,180,3,,,10.4
105638,FL,113.3,118,2,3.69733,0.13859,57.6
105640,FL,67.4,85,3,4.7877,0.20952,34.4
105641,FL,111.4,120,2,4.12972,0.2271,60
105643,FL,113.5,120,4,4.00862,0.09928,12.8
105644,FL,110,120,2,4.11347,0.06683,262.4
105645,FL,97,100,5,5.26687,0.25064,17.6
105649,FL,163,180,2,4.1469,0.10476,44
105650,FL,108.7,117,4,3.97777,0.16674,37.6
105651,FL,92.5,100,3,4.06904,0.08052,40.8
105652,FL,172.1,180,4,4.27651,0.10583,28
105653,FL,110.3,120,2,3.9878,0.10764,83.2
105654,FL,108.8,120,5,4.14952,0.18196,11.2
105655,FL,96,120,4,4.10247,0.18105,40.8
105657,FL,117.8,142,4,4.42882,0.15388,49.6
105658,FL,109.4,120,4,4.79043,0.10346,28.8
105659,FL,,120,5,,,0
105660,FL,62.6,72,3,5.42187,0.12804,42.4
105662,FL,157.8,180,5,3.8855,0.08782,1.6
105663,FL,108.6,120,1,3.78046,0.0726,63.2
105664,FL,106.1,120,2,3.80856,0.0784,57.6
105665,FL,55.8,65,2,3.99879,0.05537,35.2
105666,FL,117.1,120,4,3.81461,0.06603,12.8
105668,FL,108.9,120,5,4.98687,0.22337,32
105670,FL,104.1,131,4,4.44496,0.11648,36.8
105671,FL,82.3,110,4,4.57455,0.08424,36.8
105672,FL,80.3,105,4,3.96506,0.10085,25.6
105673,FL,174.8,179,5,3.83513,0.04026,25.6
105677,FL,91.7,120,1,3.90756,0,84
105679,FL,114,120,4,4.6599,0.14327,27.2
105680,FL,105.5,109,4,3.82771,0.07945,29.6
105682,FL,112.4,120,4,3.82245,0.10541,21.6
105683,FL,80.1,93,5,4.07359,0.09123,9.6
105684,FL,91.3,120,4,4.14867,0.25575,49.6
105685,FL,98.4,120,4,4.54467,0.11197,42.4
105686,FL,101.8,110,4,4.46301,0.1406,43.2
105687,FL,172.3,177,5,4.25074,0.10005,22.4
105688,FL,264.7,274,4,4.3294,0.0765,28.8
105690,FL,113.4,120,3,3.88654,0.08236,50.4
105691,FL,47.2,60,5,4.34373,0.19793,22.4
105692,FL,108.4,120,4,4.25646,0.18764,37.6
105693,FL,114.5,112,2,4.19497,0.05996,76
105694,FL,226.6,244,5,3.97558,0.10859,19.2
105696,FL,110.3,120,5,4.13993,0.06507,20
105697,FL,111.3,120,2,4.01197,0.19034,60.8
105700,FL,93.4,120,4,4.5085,0.26464,44.8
105701,FL,171.9,180,2,4.50718,0.10201,100.4
105702,FL,114.9,120,2,4.35565,0.06653,67.2
105703,FL,106.5,116,3,3.86394,0.12514,25.6
105705,FL,99.6,120,4,4.73726,0.25479,48.8
105706,FL,105.8,120,3,4.49217,0.06734,45.6
105707,FL,108.9,120,2,4.18366,0.15889,59.2
105708,FL,160.4,180,5,4.04706,0.17343,20
105709,FL,112.3,120,4,4.43719,0.18503,37.6
105710,FL,156.3,163,3,4.13659,0.11757,41.6
105711,FL,138.7,150,3,4.53557,0.06147,50.4
105712,FL,57.9,60,4,4.18133,0.09626,36.8
105713,FL,53.8,57,5,3.86042,0.07121,4.8
105714,FL,36.1,39,5,3.93267,0.09437,17.6
105715,FL,115.2,120,5,4.51689,0.10555,6.4
105717,FL,167.4,180,3,4.37417,0.07059,43.2
105718,FL,108.4,120,2,4.38805,0.1044,84.8
105719,FL,172.2,180,5,4.29094,0.10924,4.8
105720,FL,52.8,60,4,,,32.4
105721,FL,84.5,120,4,4.21074,0,31.2
105723,FL,103.6,120,5,4.23256,0.18015,20.8
105724,FL,106.3,120,3,4.16012,0.1302,44.8
105725,FL,86.2,96,4,3.98401,0.16902,44
105727,FL,151.3,180,5,4.2161,0.0816,17.6
105728,FL,332.6,406,5,4.03063,0.07878,20.8
105729,FL,55.7,60,5,4.53946,0.06609,2.4
105730,FL,126.3,120,1,3.86001,0.31783,39.2
105731,FL,131.4,146,5,4.83076,0.12743,13.6
105732,FL,78.4,100,5,,,19.2
105733,FL,109,120,3,3.76795,0.11858,24.8
105734,FL,115.7,120,2,4.12677,0.10299,151
105735,FL,108.5,120,4,4.57899,0.21466,15.2
105736,FL,109,120,4,4.1461,0.11814,26.4
105737,FL,116.1,120,2,4.03131,0.15622,77.6
105738,FL,102.2,113,5,4.71225,0.18078,0
105739,FL,77.7,120,2,4.70971,0.0958,170.4
105743,FL,55.7,70,5,4.95886,0.34144,0
105744,FL,55.6,60,5,4.438,0.23424,8
105745,FL,111.6,120,4,4.25133,0.30392,29.6
105747,FL,138.9,155,5,4.1221,0.04293,18.4
105749,FL,126,132,3,3.71499,0.06054,32
105751,FL,111.7,120,5,4.336,0.05961,3.2
105754,FL,110.6,120,5,4.13363,0.18098,15.2
105755,FL,117.1,120,5,3.81388,0.06684,29.6
105756,FL,106.1,120,5,4.07675,0.09707,8
105757,FL,108.3,120,4,4.08608,0.13311,32.8
105758,FL,49.1,60,4,4.15754,0.21001,12
105761,FL,80.1,120,3,5.17214,0.11935,49.6
105762,FL,107.2,120,5,4.11909,0.17792,18.4
105764,FL,111.9,120,1,4.05206,0.1025,56.8
105765,FL,98.5,120,4,3.56868,0,28.8
105769,FL,114.3,120,5,4.67736,0.11374,16
105770,FL,74.5,81,4,3.82324,0.09658,44.8
105772,FL,,159,1,,,428
105774,FL,92.2,101,5,4.29063,0,4.8
105775,FL,108,115,5,4.367,0.08201,8
105776,FL,111.5,120,4,4.15633,0.23561,24.8
105777,FL,48,60,5,4.18001,0,3.2
105779,FL,102,112,5,5.40554,0.51915,8.8
105780,FL,93.4,104,3,3.89181,0.15235,35.2
105782,FL,115.8,120,5,4.4226,0.14592,28.8
105783,FL,106.6,120,4,4.84744,0.16643,11.2
105784,FL,108.3,120,4,4.81764,0.15961,11.2
105785,FL,37.3,40,5,4.26641,0.1397,15.2
105786,FL,114.9,120,3,3.99453,0.06981,36
105790,FL,57.5,60,4,4.64446,0.11028,12.8
105791,FL,54.5,60,5,3.80329,0.15235,14.4
105792,FL,151.7,177,3,4.64782,0.14998,46.4
105793,FL,111.2,120,5,4.4969,0.22517,8
105795,FL,114.1,120,2,4.06466,0.11782,100
105796,FL,111.7,120,5,4.66624,0.21563,32.8
105797,FL,110.2,120,5,4.25937,0.11195,31.2
105801,FL,301.4,310,5,4.50821,0.05318,12
105802,FL,,60,4,,,19.2
105803,FL,259.3,276,2,,,36
105804,FL,64.8,79,2,4.09581,0.07715,60
105805,FL,56.1,65,1,,,46.4
105807,FL,55.4,60,5,4.51011,0.12839,9.6
105808,FL,,92,1,,,48.8
105809,FL,148.4,161,5,4.25522,0.03821,31.2
105810,FL,106.6,120,2,4.20122,0.1506,45.6
105812,FL,80.7,90,5,4.27829,0.11557,16
105813,FL,92.7,104,5,3.91015,0.11352,6.4
105816,FL,105.7,120,5,4.19378,0.1424,24
105817,FL,44.5,56,5,5.33099,0.11532,14.4
105819,FL,102.6,120,4,4.3164,0.24372,19.2
105820,FL,86.9,111,5,5.22711,0.28038,24
105821,FL,112.4,120,4,4.15778,0.04634,16
105822,FL,96,108,3,,,30.4
105823,FL,54.4,60,5,4.14653,0.0621,25.6
105824,FL,54.5,58,5,3.93491,0,4.8
105825,FL,57.8,60,5,4.81798,0.04693,29.6
105826,FL,51.2,60,5,,,0
105827,FL,43.3,55,1,3.75815,0.10025,64.8
105828,FL,31.8,36,5,5.79833,0.17423,17.6
105831,FL,106.7,120,2,4.39577,0.16947,86.4
105832,FL,23,30,5,5.38572,0.30082,21.6
105834,FL,104.9,120,1,2.8578,0.11754,97.2
105835,FL,51.1,60,5,4.1791,0,19.2
105837,FL,156.9,168,3,4.25175,0.17645,37.6
105838,FL,118.9,120,5,4.8571,0.05223,14.4
105839,FL,115.9,120,4,4.05875,0.12864,15.2
105840,FL,108.6,120,5,5.36315,0.07391,14.4
105842,FL,95,140,5,4.57423,0.29034,11.2
105843,FL,112.5,116,4,3.8943,0.06048,40.8
105846,FL,82.7,90,4,4.51065,0.18288,55.2
105849,FL,49.8,60,5,3.98432,0.1634,9.6
105850,FL,24,29,4,4.8557,0.42086,37.6
105851,FL,38.8,60,4,4.6737,0.15496,30.4
105852,FL,88.4,120,5,4.34438,0.25084,20
105854,FL,112.7,120,5,4.00463,0.08386,2.4
105855,FL,105.7,138,4,3.88236,0.15919,30.4
105856,FL,30,42,5,,,0
105858,FL,99,111,5,4.46708,0.1927,20.8
105859,FL,170.2,180,4,4.38896,0.1079,25.6
105860,FL,82.6,88,5,4.22006,0.03362,21.6
105861,FL,143.7,167,2,3.98411,0.07756,624
105862,FL,112.8,119,5,3.88649,0.07356,12.8
105864,FL,161.1,180,2,4.9863,0.09651,184.4
105866,FL,97.6,113,5,4.85324,0.3604,12
105868,FL,113.8,120,5,4.23057,0.16641,10.4
105870,FL,94.2,120,2,4.40098,0.23937,72
105872,FL,88.2,98,5,4.54939,0.29983,5.6
105873,FL,117.8,120,4,4.36362,0.11927,30.4
105875,FL,23.5,30,5,4.75291,0.18801,27.2
105878,FL,53.4,60,5,3.86934,0.16954,16.8
105879,FL,76.7,120,5,3.99451,0.08973,28
105881,FL,110.8,132,4,5.21543,0.27096,35.2
105882,FL,114.8,120,5,3.79487,0.1021,14.4
105884,FL,109.4,120,2,3.96451,0.23555,44.8
105885,FL,95.6,114,2,4.14968,0.13896,246.2
105886,FL,35.3,39,5,5.39803,0.2246,16.8
105888,FL,117.6,120,3,3.93679,0.11703,55.2
105890,FL,51.8,59,1,3.94474,0.11157,57.6
105891,FL,73.7,80,5,4.28616,0.08532,32.8
105892,FL,103.3,120,5,4.15755,0.05636,4.8
105895,FL,106.9,120,2,3.83869,0.08223,69.6
105901,FL,42,60,5,4.29541,0.25988,9.6
105903,FL,114.4,120,3,3.82132,0.10468,45.6
105904,FL,110.9,120,5,4.23665,0.17784,16
105910,FL,,180,1,,,64.8
105911,FL,111.5,120,5,4.12028,0.15258,28
105912,FL,,32,3,,,22.4
105915,FL,68.3,73,5,4.59349,0.18312,17.6
105917,FL,106.2,116,2,4.07237,0.10696,52.8
105919,FL,53.4,59,5,3.84556,0.13827,30.4
105921,FL,102.9,120,4,4.45034,0.23266,54.4
105924,FL,79.8,96,5,4.10527,0.0733,8
105926,FL,115.2,120,5,4.13182,0.21439,8.8
105927,FL,78.9,84,3,4.00131,0.14002,47.2
105928,FL,165.6,180,5,4.17524,0.23054,16.8
105930,FL,115.1,120,4,3.9514,0.0515,22.4
105935,FL,112.2,120,2,4.3214,0.08166,69.4
105937,FL,47.1,60,2,4.02734,0.1146,113.2
105939,FL,87.7,95,5,4.96162,0.17674,9.6
105949,FL,55.1,68,4,4.99236,0.17066,41.6
105951,FL,109.9,120,2,4.5621,0.13515,100.8
105952,FL,108.6,120,2,4.07677,0.17302,62.4
105955,FL,40.3,45,1,,,88.8
105959,FL,41.6,52,3,,,32.8
105960,FL,116.6,120,5,4.4979,0.23878,15.2
105961,FL,,56,4,,,12.8
105962,FL,103.7,120,3,4.46673,0.2515,41.6
105963,FL,52.7,60,4,4.19773,0.0865,25.6
105965,FL,110.3,129,4,3.94667,0.11036,32.8
105966,FL,163.5,219,5,4.92644,0.0948,0
105967,FL,113.5,120,5,4.64852,0.17021,18.4
105968,FL,52.8,60,5,5.20846,0.1362,20.8
105970,FL,114.8,120,5,3.93326,0.06884,7.2
105972,FL,96.1,120,4,4.92739,0.10451,32.8
105974,FL,98.9,120,4,4.77511,0.3308,46.4
105975,FL,112,120,5,3.68775,0.12467,2.4
105978,FL,109.5,120,5,3.86484,0.16785,17.6
105979,FL,114,120,5,4.52507,0.12902,10.4
105980,FL,124.1,122,5,3.42786,0.098,5.6
105982,FL,114,120,3,3.91492,0.06636,40.8
105983,FL,72.1,81,5,4.04713,0.07903,24
105985,FL,114.1,120,5,4.01305,0.12242,14.4
105986,FL,97.9,103,5,4.44126,0,24
105987,FL,105.1,116,2,4.81125,0.21007,84.8
105995,FL,,40,1,,,122.6
105996,FL,116.6,120,3,4.00061,0.12942,45.6
105998,FL,110.4,120,1,3.8037,0.05589,73.2
105999,FL,106.7,120,5,4.40629,0.13729,32
106000,FL,112.3,120,5,3.84815,0.06837,13.6
106002,FL,117.8,120,1,3.8339,0.09684,64
106003,FL,136.1,145,3,,,49.6
106005,FL,108.9,120,2,4.13541,0.16251,56
106006,FL,118.7,120,5,4.9036,0.06737,12
106007,FL,86.9,90,5,4.55159,0.19811,24
106008,FL,56.2,60,3,4.00999,0.13055,45.6
106009,FL,56.4,60,4,4.27654,0.12261,21.6
106011,FL,114.2,120,4,3.94969,0.10267,36
106012,FL,96.8,123,4,4.6319,0.28913,32
106013,FL,58.4,76,5,4.16148,0,31.2
106015,FL,35.3,45,2,4.44875,0.28748,249.2
106017,FL,93.3,105,3,4.22857,0.12049,36
106018,FL,84.1,120,4,4.57111,0.04686,28
106019,FL,50.8,64,5,5.70334,0.1774,9.6
106020,FL,96.3,120,5,4.28106,0.17146,29.6
106021,FL,142,147,5,4.13089,0.11937,32
106022,FL,53.4,60,5,4.64942,0.19082,28.8
106024,FL,104.4,120,5,4.44945,0.10626,18.4
106025,FL,97.2,120,5,4.47994,0.24847,11.2
106027,FL,98,118,2,4.43734,0.15149,622.6
106028,FL,114.3,120,5,3.89914,0.06394,9.6
106029,FL,113.9,120,4,4.08364,0.14105,36
106030,FL,113.3,120,5,3.85988,0.15627,14.4
106031,FL,258.3,264,5,5.25808,0.07039,12
106032,FL,111.7,120,1,3.87736,0.05834,76.8
106033,FL,89,96,1,3.75472,0.08763,70.4
106034,FL,114.5,120,3,4.49943,0.15809,47.2
106035,FL,,44,4,,,14.4
106036,FL,113.2,120,4,4.16632,0.07763,28.8
106038,FL,113.5,120,5,6.12683,0.08531,30.4
106040,FL,17.5,30,4,,,21.6
106041,FL,,120,3,,,34.4
106042,FL,102,116,3,4.16346,0.13901,33.6
106043,FL,115.4,120,5,4.17597,0.0692,13.6
106045,FL,88,97,5,3.93548,0.07343,13.6
106046,FL,114.3,120,3,4.18426,0.16241,35.2
106047,FL,90,120,5,4.55818,0.18746,16
106048,FL,114,120,5,3.96589,0.14714,15.2
106049,FL,99.6,113,4,4.60021,0.19889,20
106050,FL,48.1,56,5,4.59876,0.16873,15.2
106051,FL,189.9,210,4,3.86913,0.11921,7.2
106052,FL,114.8,120,5,5.21873,0.1767,0
106053,FL,59,60,5,4.52186,0.18703,24
106054,FL,4,25,4,,,13.6
106055,FL,33.2,34,5,3.85624,0,4.8
106056,FL,115.2,120,5,5.71203,0.06346,0
106057,FL,127.1,155,5,4.40219,0.17036,17.6
106058,FL,112.8,120,4,4.09521,0.06645,47.2
106059,FL,116.5,120,4,4.87296,0.0783,35.2
106060,FL,123.3,141,5,4.41142,0.18241,8.8
106061,FL,139.2,150,3,3.77072,0.07295,53.6
106062,FL,63.1,100,5,6.14877,0.1463,12.8
106063,FL,55.2,61,5,4.84093,0.06949,4
106064,FL,97.3,120,5,4.59833,0.37599,20
106065,FL,102.4,108,5,3.93589,0.07459,32
106066,FL,63.3,73,5,,,15.2
106067,FL,,40,3,,,20.8
106068,FL,14.1,20,5,6.11798,0.1927,16
106069,FL,82.5,100,5,4.28556,0.06134,29.6
106070,FL,,78,3,,,19.2
106072,FL,93.1,104,2,4.06975,0.10554,87.2
106073,FL,112.2,120,5,4.56741,0.17637,3.2
106074,FL,114.9,120,2,3.89245,0.12475,79.2
106075,FL,61.9,72,5,4.79808,0.16782,29.6
106076,FL,34.3,40,4,5.38477,0.17927,13.6
